Age,Income,Satisfaction,Group
58,63113.20170238629,2,Group C
33,45217.39091776388,7,Group C
26,50801.362210493135,2,Group C
40,15847.137260091251,3,Group B
36,52928.8132058735,2,Group A
29,51890.15518173773,3,Group C
58,45101.37488730473,7,Group B
25,68115.46746642774,7,Group B
52,28190.135356965675,2,Group A
49,68051.044672379,4,Group C
29,56257.40325891923,4,Group B
39,48399.22228362077,3,Group A
49,55641.68035263449,4,Group B
44,51811.543361252705,3,Group A
38,40919.8228543473,4,Group C
55,60182.02559751459,4,Group C
57,53537.82472725233,1,Group C
21,64503.81691423951,6,Group A
56,52487.40379744573,2,Group B
22,72144.60394617051,3,Group B
57,51090.22117790687,2,Group B
56,56811.42393492388,7,Group A
51,11321.64532403621,3,Group C
21,38642.65384184601,2,Group A
23,36698.70304766862,4,Group A
42,53346.390887543996,7,Group B
22,31369.585253524372,4,Group B
24,41386.51931890824,10,Group C
49,58230.158622813615,1,Group C
37,58478.27602592458,5,Group C
49,64125.32912758045,3,Group C
20,51949.63005694928,8,Group A
34,57499.26599823492,6,Group C
30,54404.9264712579,6,Group C
22,52000.31670963609,4,Group B
44,68537.71034867989,10,Group A
33,35922.26150437529,2,Group B
57,25517.975294402644,9,Group A
26,53847.832838778995,2,Group B
33,48036.950064487384,5,Group A
59,67525.57529412274,7,Group A
26,48196.277069548676,3,Group A
35,65682.86789651726,7,Group A
40,50613.26370733475,8,Group A
27,52332.5587879185,6,Group A
59,72275.91310644175,1,Group B
44,44072.0689685886,2,Group B
37,59759.46936895825,6,Group B
50,50267.95028294092,7,Group C
50,32433.035203117757,10,Group C
44,35627.06994169878,9,Group C
26,42993.96742570098,9,Group B
30,58365.815221919634,3,Group C
28,43021.5599924086,7,Group A
58,49358.208744351134,1,Group C
52,50315.3037091596,7,Group A
27,28159.746056721913,1,Group C
55,62596.68570761488,5,Group A
24,52947.56983497983,4,Group C
40,70097.93321414679,4,Group A
24,47589.589771944404,8,Group B
37,59583.88789291866,1,Group A
36,46292.5283602029,10,Group B
19,39286.868358762076,3,Group B
22,49433.9354047325,3,Group B
58,44551.37822941592,4,Group C
35,50784.2253064739,6,Group B
24,50138.95610723201,7,Group A
55,20352.662833703347,1,Group A
51,36104.53264603773,7,Group B
36,49351.283429073344,1,Group A
38,66194.9751546271,4,Group C
44,62812.307417791744,8,Group A
41,62292.16939201241,4,Group C
40,67492.23240747211,9,Group A
55,36895.44868711406,1,Group C
28,45880.87599340394,4,Group B
26,46479.842721677065,9,Group A
44,61759.1454004486,6,Group A
53,33223.9897045506,8,Group C
45,61026.947829606805,6,Group B
50,55062.65409211945,8,Group B
34,65430.31869503719,5,Group B
39,36548.636132220694,2,Group A
47,31137.694761528262,1,Group B
34,48623.25815506835,7,Group B
58,52328.62582377892,8,Group C
24,69208.02283170182,8,Group C
28,65020.896234337284,9,Group C
55,43595.100119473274,5,Group C
35,71622.74257234832,10,Group C
33,70539.1830483477,3,Group B
48,45090.1064379382,8,Group A
31,72595.95317204914,6,Group A
44,45014.35840993156,10,Group B
57,65102.53219172801,4,Group A
38,21979.215169276118,7,Group C
40,36522.2831116171,5,Group B
54,14610.619637056057,1,Group C
45,70158.84981797787,7,Group C
